iter	RMSE
0	14.97423815
1	14.58308171
2	14.22113751
3	13.91105003
4	13.57217638
5	13.24835204
6	12.96687191
7	12.68870122
8	12.4019368
9	12.09719967
10	11.83166414
11	11.55950596
12	11.31649546
13	11.04777722
14	10.80857085
15	10.60230518
16	10.38448279
17	10.18118245
18	9.991572802
19	9.791775795
20	9.599217685
21	9.419584115
22	9.261433722
23	9.087574966
24	8.927509477
25	8.786035139
26	8.632124676
27	8.494723307
28	8.352211073
29	8.22442353
30	8.099197002
31	7.973638343
32	7.865774234
33	7.764515867
34	7.662223863
35	7.55265015
36	7.452441823
37	7.361726024
38	7.267879467
39	7.186054961
40	7.098970625
41	7.030946306
42	6.954884574
43	6.896174819
44	6.819504222
45	6.760490862
46	6.70002946
47	6.639956272
48	6.576457438
49	6.521403745
50	6.468317957
51	6.416166534
52	6.366240287
53	6.318303007
54	6.271289383
55	6.230841864
56	6.195616034
57	6.154482778
58	6.114448813
59	6.077478972
60	6.04019399
61	6.004790872
62	5.97663869
63	5.952636779
64	5.922469287
65	5.893442998
66	5.866069265
67	5.837504756
68	5.814709413
69	5.790252884
70	5.763163575
71	5.743265665
72	5.719740825
73	5.70084169
74	5.676548314
75	5.657020381
76	5.635240347
77	5.619823025
78	5.603526919
79	5.586521579
80	5.573240042
81	5.554402907
82	5.539324475
83	5.520274743
84	5.505171927
85	5.487650144
86	5.471716428
87	5.457764238
88	5.442625343
89	5.428200386
90	5.413893051
91	5.402754578
92	5.390553464
93	5.380194599
94	5.366252373
95	5.354367642
96	5.341373535
97	5.332102156
98	5.323567825
99	5.310151263
100	5.301023491
101	5.289400021
102	5.281397065
103	5.270599182
104	5.262610151
105	5.254239728
106	5.244699454
107	5.2375097
108	5.229601772
109	5.220652493
110	5.213098652
111	5.203027445
112	5.196585571
113	5.189641412
114	5.185099199
115	5.180435229
116	5.172536813
117	5.167261884
118	5.160325251
119	5.152764562
120	5.149823144
121	5.143200909
122	5.138293553
123	5.129850762
124	5.123649245
125	5.117096433
126	5.111857517
127	5.108788898
128	5.101318349
129	5.094042399
130	5.088779309
131	5.082779537
132	5.075501659
133	5.066903707
134	5.060233261
135	5.057209288
136	5.052132221
137	5.047909456
138	5.041255621
139	5.036552601
140	5.036122521
141	5.030322075
142	5.023364197
143	5.019642124
144	5.016893916
145	5.008395781
146	5.005450647
147	5.001354066
148	4.996487321
149	4.990328383
150	4.986454753
151	4.980902746
152	4.976482316
153	4.972538495
154	4.970521935
155	4.965757056
156	4.959474189
157	4.954736587
158	4.9517805
159	4.947043908
160	4.944698009
161	4.93778913
162	4.932878585
163	4.927180718
164	4.926806222
165	4.921659614
166	4.915895661
167	4.908658829
168	4.905130504
169	4.901325591
170	4.900164155
171	4.893999387
172	4.890711698
173	4.889071068
174	4.887022317
175	4.883115249
176	4.879813624
177	4.875406167
178	4.873034265
179	4.872796767
180	4.8683861
181	4.862823099
182	4.857915253
183	4.852563044
184	4.847296647
185	4.840546955
186	4.837512611
187	4.834541221
188	4.832231229
189	4.830211278
190	4.827785059
191	4.824901658
192	4.820662373
193	4.816349949
194	4.813073863
195	4.809189622
196	4.804187671
197	4.798710634
198	4.797202203
199	4.792356728
200	4.787590939
201	4.783621361
202	4.781112734
203	4.779657531
204	4.776239766
205	4.77097466
206	4.766959382
207	4.76336619
