iter	Passed	Remaining
0	0	83
1	1	73
2	2	68
3	2	62
4	3	60
5	3	59
6	4	57
7	4	56
8	5	55
9	6	55
10	6	54
11	7	53
12	7	53
13	8	52
14	9	51
15	9	51
16	10	50
17	11	50
18	11	49
19	12	49
20	12	48
21	13	47
22	14	46
23	14	46
24	15	45
25	15	45
26	16	44
27	17	44
28	18	44
29	18	42
30	19	42
31	19	41
32	20	41
33	21	40
34	21	40
35	22	39
36	23	39
37	23	39
38	24	38
39	25	38
40	26	37
41	27	37
42	27	36
43	28	36
44	29	36
45	30	35
46	31	35
47	31	34
48	32	34
49	33	33
50	34	33
51	35	32
52	36	31
53	36	31
54	37	30
55	38	30
56	39	29
57	40	29
58	41	28
59	42	28
60	43	27
61	44	27
62	44	26
63	45	25
64	46	25
65	47	24
66	48	23
67	49	23
68	50	22
69	51	21
70	52	21
71	53	20
72	54	20
73	55	19
74	55	18
75	56	17
76	57	17
77	58	16
78	59	15
79	60	15
80	61	14
81	62	13
82	63	12
83	64	12
84	65	11
85	66	10
86	67	10
87	68	9
88	69	8
89	70	7
90	71	7
91	73	6
92	74	5
93	75	4
94	76	4
95	77	3
96	78	2
97	79	1
98	80	0
99	81	0
